# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false       date            10   thrpt    10           1.900 ±         21.303        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false       date            10   thrpt    10       27615.100 ±     167357.309        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false       date            10   thrpt    10       31401.000 ±     138420.742        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false       date            10   thrpt    10      121818.200 ±     582367.908        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false       date            10   thrpt    10      119093.800 ±     111209.459        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false       date            10   thrpt    10      145776.300 ±     270693.609        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.desiredSurvivorSize                                   false       date            10   thrpt    10      104857.600 ±     334210.013        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false       date            10   thrpt    10          54.700 ±       1344.941        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false       date            10   thrpt    10       19668.800 ±    1697257.001        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.allocThreads                                            false       date            10   thrpt    10           0.100 ±         14.527        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false       date            10   thrpt    10          31.100 ±        233.449        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false       date            10   thrpt    10           1.700 ±         16.866        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false       date            10   thrpt    10          20.800 ±         42.409        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false       date            10   thrpt    10         628.900 ±       1311.903        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false       date            10   thrpt    10          53.500 ±          0.797  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false       date            10   thrpt    10          52.500 ±          0.797  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false       date            10   thrpt    10          54.000                   threads
Benchmark.runApache_withoutThreads                                                                            false       date            20   thrpt    10           0.142 ±          0.007   ops/ms
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false       date            20   thrpt    10           1.300 ±          1.020        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false       date            20   thrpt    10  1141978587.700 ±  687916556.184        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false       date            20   thrpt    10  1141375199.500 ±  687820687.173        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false       date            20   thrpt    10     6531435.900 ±    4602407.728        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false       date            20   thrpt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.0.used                                    false       date            20   thrpt    10     7420141.600 ±   52325541.012        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.2.used                                    false       date            20   thrpt    10       75366.400 ±    2854938.804        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false       date            20   thrpt    10      408880.000 ±    1033057.147        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false       date            20   thrpt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false       date            20   thrpt    10        9713.600 ±      10385.170        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false       date            20   thrpt    10          27.400 ±         68.605        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false       date            20   thrpt    10       35850.000 ±     161429.899        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false       date            20   thrpt    10       33677.800 ±     136017.779        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false       date            20   thrpt    10      136883.700 ±     569206.516        ?
